harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25
-27.012838660680206,-40.72014110900211,-42.17513484797989,-29.700967803997543,-51.1740703358637,-42.423223183051306,-48.03149906327451,-49.07747120151109,-67.3158599725014,-59.78037820741069,-64.4752004940462,-73.54153969467616,-76.95659325540565,-68.40210275698706,-77.53028343237226,,-83.9294137695063,-84.89167148003204,,-83.66546478642378,,,,-88.01056655383518,-87.61007792233967
-43.54514616901668,-33.81833770145692,-43.788632337411094,-30.79838667003618,-46.65019299712005,-46.09853616071986,-55.983625219595694,-45.43155073449475,-60.61984918120907,-63.47960781313549,-70.86371122405409,-68.23097900008932,-63.326762064123,-75.54085799551586,-70.36038584747048,-81.20993186510664,-89.4396664626534,,-81.99653031465827,-80.33711209963515,-89.3789573890715,-85.46846809867411,-81.58061452782535,-74.82184767951877,-88.7676859175795
-46.869573555659834,-50.97661258972864,-57.34454406610012,-45.88668032179075,-58.65589051547494,-56.18756734553975,-57.09936307578482,-67.5748912286873,-76.55982006288043,-73.12510191932108,-69.15476096415027,-75.6395199593548,-80.1375856644264,-75.13443802766974,-84.38031595530292,-88.6384246630572,-82.23845345593854,-83.15585959238402,,-88.6742702702891,-88.44746602471785,-89.52007882293137,-89.91323334920114,,
-33.4106556820123,-50.914191605090146,-50.85943305156498,-52.35036067059874,-46.479158138242504,-57.586504408885425,-57.294426672163894,-65.89348624736701,-61.13458170984359,-73.9001333651155,-79.80938069476748,-81.86287101812873,-67.48092282053013,-76.23897769288213,-84.46132208573877,-88.05940717444996,-87.37023573392467,-79.84125062500227,,-89.28299929784774,-88.04922354454769,-89.19142321842028,,-89.64397274105451,
-35.646459733453916,-50.150355301413306,-59.65059195602413,-47.512974208184175,-52.59874005834856,-68.12968991108687,-64.19358851611983,-60.98326643706983,-68.96287053023686,-82.95177278006784,-80.43939341148617,-72.5599432746692,-75.59953558832035,-73.34462978349114,-75.20344297802254,-78.82447045439032,-85.24144769579742,,,,,-88.83239029726053,-89.40240497034748,,
-48.8510151409738,-54.68426072687213,-57.03816676383881,-56.02857767036551,-60.87762483194662,-57.76977114262255,-55.97504160634631,-64.87067859686768,-56.08130986523991,-60.15357719295683,-63.977812705691974,-63.3614182350341,-67.4351554087394,-74.012220902028,-75.74202632916382,-70.28549506758196,-73.02703360702695,-70.92772496470504,-68.45853280897697,-77.08194900184017,-77.454855795672,-76.01565731106707,-78.73251026687213,-86.6733121027639,-85.48026062482016
-31.994584668033692,-35.16249668031627,-32.18644060840686,-34.96192059096,-42.943420609649806,-35.08330981396592,-38.44267397588516,-44.597469416772746,-44.998682375112196,-47.72931613789399,-36.56858373250447,-55.47029581611835,-45.06455213437246,-50.17254505594548,-48.95707780663406,-52.86534984790392,-61.70313928012799,-56.23032123789277,-55.05046224392267,-59.67782729782369,-63.64220101913906,-89.13437595679798,,,
-27.339463267198898,-36.09722642635419,-32.093567979778314,-42.417351448338216,-36.264536835049,-43.443134297399766,-53.54658157222769,-51.19592742093871,-59.32409911321036,-63.72241261202986,-75.5749215562146,-81.75448381669482,-61.73074351720413,-66.79854301806589,-65.1327736949061,,,,,,,,,,
-47.62705804024547,-27.346835789632088,-27.79344786467431,-35.77177338829182,-51.69680859941317,-40.51110976352468,-43.588025477149124,,-38.72331392190052,-35.520402817908405,-46.17832335035754,-40.839018355703516,-50.62837494250169,-44.60325857421865,-48.66809650215043,-45.1270371686802,-54.42119496311112,-61.85184808835668,-63.535607760878705,-61.28398357232351,-73.84054529599065,-78.25437912320488,-83.67406490838007,-80.32123052875941,
-16.28455542110197,-23.466286273617666,-44.79525579169047,-35.1236794617863,-43.05756114660862,-31.625736563791857,-47.77141054231558,-53.44427671654734,-38.47174215943723,-37.9468279559114,-41.88664197912052,-48.66491290314876,-57.649572533153,-52.93460958242196,-60.49017697043287,-58.61827443033389,-69.77488252971503,-59.52139387350251,-74.33286936983394,-79.02833453299571,,,,-88.34918754395184,
-50.49549432082597,-52.18890824509797,-47.78987861915484,-60.23572086791627,-56.11395520429985,-68.78500648929736,-76.56662800522767,-80.15554499927379,-88.3223783746596,-82.62981287744559,-86.05618615899292,-88.58035049266694,-86.78280504255699,-87.71988490114826,-88.69821077099981,,,,,,,,,,
-47.174336318512985,-42.59689951617562,-39.108010131914604,-43.2142447633038,-46.48206958233591,-63.50795211736082,-60.932836709603606,-61.62599496047302,-65.02772885082807,-65.1866962678645,-68.50497335748129,-70.99784022927429,-71.65158224015755,-77.37205869734986,-83.2522272205222,-70.0309664972565,-70.34108262948551,-70.08427570161697,-86.4367676369592,-69.82511888207235,,,,,
